Absolute Elem-wise Error,Absolute CR Error,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
10.0,0.02285713,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
2.0,0.011428565,200,5,175,default,,40:60
1.0,0.0057142675,200,5,175,default,,40:60
0.0,0.0,200,5,175,default,,40:60
6.0,0.034285724,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
16.0,0.034285724,200,5,175,default,,40:60
13.0,0.028571427,200,5,175,default,,40:60
13.0,0.028571427,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
11.0,0.03999996,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
8.0,0.034285665,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
12.0,0.02285716,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
11.0,0.028571427,200,5,175,default,,40:60
13.0,0.028571427,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
12.0,0.034285724,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
18.0,0.034285724,200,5,175,default,,40:60
13.0,0.017142832,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
14.0,0.04571432,200,5,175,default,,40:60
9.0,0.051428556,200,5,175,default,,40:60
11.0,0.03999996,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
10.0,0.034285694,200,5,175,default,,40:60
11.0,0.03999999,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
6.0,0.011428535,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
14.0,0.0,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
41.0,0.21142857,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
4.0,0.02285713,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
13.0,0.017142832,200,5,175,default,,40:60
8.0,0.034285694,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
14.0,0.04571429,200,5,175,default,,40:60
6.0,0.02285716,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
11.0,0.04000002,200,5,175,default,,40:60
14.0,0.02285713,200,5,175,default,,40:60
15.0,0.04000002,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
12.0,0.04571432,200,5,175,default,,40:60
13.0,0.074285686,200,5,175,default,,40:60
9.0,0.051428556,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
9.0,0.03999999,200,5,175,default,,40:60
11.0,0.051428556,200,5,175,default,,40:60
10.0,0.04571429,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
7.0,0.03999996,200,5,175,default,,40:60
14.0,0.034285665,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
5.0,0.017142892,200,5,175,default,,40:60
3.0,0.0057142973,200,5,175,default,,40:60
9.0,0.051428616,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
5.0,0.017142892,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
19.0,0.051428556,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
12.0,0.04571426,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
14.0,0.011428535,200,5,175,default,,40:60
14.0,0.011428535,200,5,175,default,,40:60
14.0,0.0,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
9.0,0.0057142377,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
13.0,0.017142862,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
6.0,0.011428535,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
10.0,0.011428535,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
10.0,0.011428565,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
13.0,0.04000002,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
5.0,0.0057142377,200,5,175,default,,40:60
13.0,0.051428586,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
3.0,0.0057142675,200,5,175,default,,40:60
5.0,0.017142892,200,5,175,default,,40:60
5.0,0.017142862,200,5,175,default,,40:60
7.0,0.04000002,200,5,175,default,,40:60
10.0,0.04571429,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
8.0,0.011428565,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
10.0,0.011428565,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
13.0,0.04000002,200,5,175,default,,40:60
12.0,0.034285694,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
12.0,0.034285724,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
11.0,0.028571427,200,5,175,default,,40:60
4.0,0.011428565,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142675,200,5,175,default,,40:60
5.0,0.017142862,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
8.0,0.011428565,200,5,175,default,,40:60
12.0,0.04571429,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
6.0,0.02285716,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
16.0,0.057142854,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
12.0,0.02285716,200,5,175,default,,40:60
10.0,0.02285716,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
5.0,0.017142892,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
5.0,0.017142892,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
11.0,0.028571427,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
21.0,0.028571397,200,5,175,default,,40:60
14.0,0.011428595,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
20.0,0.04571426,200,5,175,default,,40:60
11.0,0.017142892,200,5,175,default,,40:60
14.0,0.0,200,5,175,default,,40:60
11.0,0.0057142675,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
12.0,0.034285754,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
7.0,0.0057142377,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
7.0,0.03999996,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
8.0,0.02285716,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
11.0,0.03999999,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
8.0,0.011428565,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
13.0,0.06285715,200,5,175,default,,40:60
11.0,0.051428556,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
17.0,0.03999999,200,5,175,default,,40:60
11.0,0.028571427,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
10.0,0.011428565,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
8.0,0.011428565,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
2.0,0.011428565,200,5,175,default,,40:60
5.0,0.028571457,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
5.0,0.017142862,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
9.0,0.0057142675,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
9.0,0.03999999,200,5,175,default,,40:60
12.0,0.057142854,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
27.0,0.120000005,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
5.0,0.0057142675,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
7.0,0.028571457,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
6.0,0.011428535,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
5.0,0.028571427,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142377,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
12.0,0.034285724,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
4.0,0.011428565,200,5,175,default,,40:60
16.0,0.02285716,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
13.0,0.0057142973,200,5,175,default,,40:60
14.0,0.034285724,200,5,175,default,,40:60
13.0,0.0057142973,200,5,175,default,,40:60
14.0,0.011428535,200,5,175,default,,40:60
11.0,0.051428586,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
11.0,0.0057142675,200,5,175,default,,40:60
6.0,0.02285716,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
14.0,0.0,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
11.0,0.0057142675,200,5,175,default,,40:60
12.0,0.034285694,200,5,175,default,,40:60
13.0,0.017142862,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
10.0,0.011428565,200,5,175,default,,40:60
13.0,0.017142832,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
20.0,0.11428571,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
9.0,0.017142832,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
9.0,0.0057142377,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
4.0,0.011428535,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
13.0,0.0057142973,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
8.0,0.034285694,200,5,175,default,,40:60
15.0,0.0057142377,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
14.0,0.011428565,200,5,175,default,,40:60
11.0,0.017142892,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
3.0,0.0057142973,200,5,175,default,,40:60
12.0,0.011428595,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
13.0,0.0057142973,200,5,175,default,,40:60
10.0,0.034285694,200,5,175,default,,40:60
14.0,0.04571429,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
11.0,0.0057142377,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
12.0,0.02285719,200,5,175,default,,40:60
21.0,0.08571428,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
14.0,0.034285724,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
12.0,0.034285724,200,5,175,default,,40:60
10.0,0.04571426,200,5,175,default,,40:60
14.0,0.06857145,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
11.0,0.04000002,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
5.0,0.0057142377,200,5,175,default,,40:60
13.0,0.051428616,200,5,175,default,,40:60
9.0,0.051428556,200,5,175,default,,40:60
3.0,0.017142892,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
8.0,0.02285719,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
13.0,0.017142832,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
4.0,0.011428535,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
12.0,0.0,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
7.0,0.03999999,200,5,175,default,,40:60
19.0,0.097142845,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
10.0,0.034285724,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
3.0,0.017142892,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
8.0,0.011428535,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
9.0,0.03999996,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
12.0,0.034285665,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
9.0,0.03999996,200,5,175,default,,40:60
5.0,0.028571427,200,5,175,default,,40:60
9.0,0.051428556,200,5,175,default,,40:60
10.0,0.04571426,200,5,175,default,,40:60
9.0,0.03999996,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
9.0,0.028571427,200,5,175,default,,40:60
9.0,0.04000002,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142892,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
13.0,0.04000002,200,5,175,default,,40:60
10.0,0.011428535,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
14.0,0.06857142,200,5,175,default,,40:60
14.0,0.034285754,200,5,175,default,,40:60
6.0,0.02285716,200,5,175,default,,40:60
9.0,0.028571397,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
8.0,0.02285716,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
13.0,0.0057142377,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
5.0,0.017142862,200,5,175,default,,40:60
3.0,0.017142862,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
7.0,0.017142892,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
13.0,0.028571457,200,5,175,default,,40:60
9.0,0.0057142377,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142675,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
9.0,0.0057142377,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
16.0,0.034285694,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
13.0,0.0057142973,200,5,175,default,,40:60
12.0,0.04571429,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
12.0,0.02285716,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
10.0,0.02285713,200,5,175,default,,40:60
11.0,0.017142862,200,5,175,default,,40:60
8.0,0.02285716,200,5,175,default,,40:60
11.0,0.0057142377,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
5.0,0.0057142675,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
1.0,0.0057142973,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
3.0,0.0057142973,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
11.0,0.028571427,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
6.0,0.011428565,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
9.0,0.0057142675,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
5.0,0.028571427,200,5,175,default,,40:60
7.0,0.03999999,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
13.0,0.04000002,200,5,175,default,,40:60
12.0,0.04571426,200,5,175,default,,40:60
11.0,0.017142892,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
5.0,0.017142832,200,5,175,default,,40:60
4.0,0.0,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
10.0,0.0,200,5,175,default,,40:60
7.0,0.017142862,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
7.0,0.028571427,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
7.0,0.017142832,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
2.0,0.011428535,200,5,175,default,,40:60
5.0,0.0057142973,200,5,175,default,,40:60
6.0,0.02285713,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
6.0,0.0,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
10.0,0.011428535,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
14.0,0.011428595,200,5,175,default,,40:60
14.0,0.0,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
12.0,0.011428565,200,5,175,default,,40:60
14.0,0.02285713,200,5,175,default,,40:60
10.0,0.02285716,200,5,175,default,,40:60
15.0,0.04000002,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
22.0,0.06857145,200,5,175,default,,40:60
6.0,0.011428595,200,5,175,default,,40:60
9.0,0.0057142973,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
11.0,0.028571457,200,5,175,default,,40:60
7.0,0.0057142973,200,5,175,default,,40:60
8.0,0.011428565,200,5,175,default,,40:60
8.0,0.034285724,200,5,175,default,,40:60
4.0,0.011428595,200,5,175,default,,40:60
7.0,0.0057142675,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
8.0,0.0,200,5,175,default,,40:60
9.0,0.017142862,200,5,175,default,,40:60
10.0,0.011428595,200,5,175,default,,40:60
10.0,0.011428565,200,5,175,default,,40:60
15.0,0.017142892,200,5,175,default,,40:60
9.0,0.0057142675,200,5,175,default,,40:60
8.0,0.011428595,200,5,175,default,,40:60
11.0,0.0057142973,200,5,175,default,,40:60
11.0,0.017142832,200,5,175,default,,40:60
17.0,0.017142832,200,5,175,default,,40:60
20.0,0.034285724,200,5,175,default,,40:60
19.0,0.051428586,200,5,175,default,,40:60
12.0,0.034285724,200,5,175,default,,40:60
12.0,0.02285713,200,5,175,default,,40:60
13.0,0.017142892,200,5,175,default,,40:60
8.0,0.02285713,200,5,175,default,,40:60
10.0,0.034285694,200,5,175,default,,40:60
