Absolute Elem-wise Error,Absolute CR Error,n_BM,n_ABS,n_GU,Collect Strategy,Method,Explore:Serve
0.0,0.0,200,5,75,default,,40:60
3.0,0.01333335,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
9.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
4.0,0.053333372,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
4.0,0.053333282,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
8.0,0.053333342,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
4.0,0.053333282,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
5.0,0.03999996,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
7.0,0.06666666,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
7.0,0.06666666,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
6.0,0.026666671,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
6.0,0.053333312,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.03999999,200,5,75,default,,40:60
5.0,0.06666663,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.01333335,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
3.0,0.03999999,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
4.0,0.053333282,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.01333335,200,5,75,default,,40:60
7.0,0.03999999,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
4.0,0.053333372,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
4.0,0.053333312,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
6.0,0.053333372,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
3.0,0.01333335,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.03999996,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
8.0,0.0266667,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
8.0,0.106666654,200,5,75,default,,40:60
14.0,0.18666668,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
7.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
8.0,0.0266667,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
7.0,0.01333338,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
8.0,0.053333312,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.03999996,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.03999996,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
8.0,0.106666684,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
5.0,0.03999999,200,5,75,default,,40:60
6.0,0.07999998,200,5,75,default,,40:60
4.0,0.053333312,200,5,75,default,,40:60
7.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
5.0,0.03999999,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.01333335,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
6.0,0.026666671,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
18.0,0.24,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
8.0,0.0,200,5,75,default,,40:60
8.0,0.0266667,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
8.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
9.0,0.120000005,200,5,75,default,,40:60
1.0,0.01333335,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
6.0,0.026666671,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
5.0,0.06666669,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
7.0,0.093333334,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.053333312,200,5,75,default,,40:60
3.0,0.03999999,200,5,75,default,,40:60
7.0,0.013333321,200,5,75,default,,40:60
3.0,0.03999999,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
5.0,0.03999999,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
5.0,0.01333335,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.026666671,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
9.0,0.120000005,200,5,75,default,,40:60
9.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
5.0,0.03999999,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.026666671,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
5.0,0.03999996,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
6.0,0.026666671,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
7.0,0.06666666,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
6.0,0.07999998,200,5,75,default,,40:60
7.0,0.09333336,200,5,75,default,,40:60
14.0,0.13333333,200,5,75,default,,40:60
6.0,0.026666641,200,5,75,default,,40:60
7.0,0.03999996,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
7.0,0.013333321,200,5,75,default,,40:60
7.0,0.03999996,200,5,75,default,,40:60
6.0,0.0266667,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.04000002,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
9.0,0.01333338,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
1.0,0.01333338,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
7.0,0.06666666,200,5,75,default,,40:60
10.0,0.08000004,200,5,75,default,,40:60
6.0,0.07999998,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
7.0,0.04000002,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
3.0,0.01333338,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
9.0,0.013333321,200,5,75,default,,40:60
6.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
7.0,0.06666666,200,5,75,default,,40:60
6.0,0.053333342,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
1.0,0.013333321,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
9.0,0.04000002,200,5,75,default,,40:60
9.0,0.04000002,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
5.0,0.01333338,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
7.0,0.01333335,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.026666641,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
5.0,0.013333321,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.013333321,200,5,75,default,,40:60
2.0,0.0266667,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
0.0,0.0,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
4.0,0.053333342,200,5,75,default,,40:60
3.0,0.04000002,200,5,75,default,,40:60
2.0,0.0,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.0,200,5,75,default,,40:60
4.0,0.0266667,200,5,75,default,,40:60
4.0,0.026666641,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
5.0,0.06666666,200,5,75,default,,40:60
3.0,0.03999996,200,5,75,default,,40:60
